channel,freq,C1,C2,DV,narrow,DV accepted
AF4,16,1,2,1.451459,1,0
AF4,17,1,2,1.526109,1,0
AF4,18,1,2,1.411642,1,0
AF4,19,1,2,1.379037,1,0
AF4,20,1,2,1.521152,1,0
AF4,21,1,2,1.451586,1,0
AF4,22,1,2,1.494578,1,0
AF4,23,1,2,1.355746,1,0
AF4,24,1,2,1.442808,1,0
AF4,25,1,2,1.533865,1,0
AF4,26,1,2,1.545304,1,0
AF4,27,1,2,1.403433,1,0
AF4,28,1,2,1.352535,1,0
AF4,29,1,2,1.366355,1,0
AF4,30,1,2,1.462850,1,0
AF4,31,1,2,1.363670,1,0
AF4,32,1,2,1.388754,1,0
AF4,34,1,2,1.376754,1,0
AF4,35,1,2,1.328673,1,0
AF4,36,1,2,1.447410,1,0
AF4,37,1,2,1.335189,1,0
AF4,38,1,2,1.374309,1,0
AF4,39,1,2,1.370247,1,0
AF4,40,1,2,1.318828,1,0
AF4,41,1,2,1.437457,1,0
AF4,42,1,2,1.306191,1,0
AF4,43,1,2,1.286170,1,0
AF4,44,1,2,1.707841,1,0
AF4,45,1,2,1.786860,1,0
AF4,46,1,2,1.591966,1,0
AF4,47,1,2,1.501664,1,0
AF4,48,1,2,1.630736,1,0
AF4,49,1,2,1.766470,1,0
AF4,50,1,2,1.688495,1,0
AF4,51,1,2,1.833561,1,0
AF4,52,1,2,1.480267,1,0
AF4,53,1,2,1.659148,1,0
AF4,54,1,2,1.681458,1,0
AF4,55,1,2,1.572529,1,0
AF4,56,1,2,1.620510,1,0
AF4,57,1,2,1.404486,1,0
AF4,58,1,2,1.569116,1,0
AF4,59,1,2,1.665553,1,0
AF4,60,1,2,1.713846,1,0
AF4,61,1,2,1.583304,1,0
AF4,62,1,2,1.523078,1,0
AF4,63,1,2,1.744492,1,0
FC6,0,1,2,2.104071,1,0
FC6,1,1,2,1.922626,1,0
FC6,2,1,2,1.890380,1,0
FC6,3,1,2,1.836111,1,0
FC6,4,1,2,1.846739,1,0
FC6,5,1,2,1.548297,1,0
FC6,6,1,2,1.684020,1,0
FC6,7,1,2,1.595891,1,0
FC6,8,1,2,1.708268,1,0
FC6,9,1,2,1.595764,1,0
FC6,10,1,2,1.462311,1,0
FC6,11,1,2,1.613119,1,0
FC6,12,1,2,1.586394,1,0
FC6,13,1,2,1.508952,1,0
FC6,14,1,2,1.341608,1,0
FC6,15,1,2,1.596717,1,0
FC6,16,1,2,1.608726,1,0
FC6,17,1,2,1.641336,1,0
FC6,18,1,2,1.695497,1,0
FC6,19,1,2,1.386932,1,0
FC6,20,1,2,1.618217,1,0
FC6,21,1,2,1.689114,1,0
FC6,22,1,2,1.522381,1,0
FC6,23,1,2,1.549963,1,0
FC6,24,1,2,1.385651,1,0
FC6,25,1,2,1.522604,1,0
FC6,26,1,2,1.645210,1,0
FC6,27,1,2,1.694277,1,0
FC6,28,1,2,1.368720,1,0
FC6,29,1,2,1.431699,1,0
FC6,30,1,2,1.497064,1,0
FC6,31,1,2,1.625077,1,0
FC6,32,1,2,1.442139,1,0
FC6,33,1,2,1.306702,1,0
FC6,34,1,2,1.537178,1,0
FC6,35,1,2,1.347861,1,0
FC6,36,1,2,1.497528,1,0
FC6,37,1,2,1.425183,1,0
FC6,38,1,2,1.330013,1,0
FC6,39,1,2,1.540053,1,0
FC6,40,1,2,1.511927,1,0
FC6,41,1,2,1.539704,1,0
FC6,42,1,2,1.524312,1,0
FC6,43,1,2,1.544756,1,0
FC6,44,1,2,1.616374,1,0
FC6,45,1,2,1.585777,1,0
FC6,46,1,2,1.906841,1,0
FC6,47,1,2,1.691651,1,0
FC6,48,1,2,1.679487,1,0
FC6,49,1,2,1.677644,1,0
FC6,50,1,2,1.739089,1,0
FC6,51,1,2,1.709184,1,0
FC6,52,1,2,1.683946,1,0
FC6,53,1,2,1.685414,1,0
FC6,54,1,2,1.738484,1,0
FC6,55,1,2,1.780743,1,0
FC6,56,1,2,1.740865,1,0
FC6,57,1,2,1.635396,1,0
FC6,58,1,2,1.785286,1,0
FC6,59,1,2,1.766278,1,0
FC6,60,1,2,1.803040,1,0
FC6,61,1,2,1.854799,1,0
FC6,62,1,2,1.691767,1,0
FC6,63,1,2,1.790291,1,0
F4,0,1,2,1.939688,1,0
F4,1,1,2,1.955436,1,0
F4,2,1,2,1.891998,1,0
F4,3,1,2,1.785870,1,0
F4,4,1,2,1.778087,1,0
F4,5,1,2,1.800588,1,0
F4,6,1,2,1.722117,1,0
F4,7,1,2,1.711110,1,0
F4,8,1,2,1.796024,1,0
F4,9,1,2,1.321225,1,0
F4,10,1,2,1.694614,1,0
F4,11,1,2,1.436832,1,0
F4,12,1,2,1.512104,1,0
F4,13,1,2,1.428426,1,0
F4,14,1,2,1.435068,1,0
F4,15,1,2,1.267433,1,1
F4,16,1,2,1.498681,1,0
F4,17,1,2,1.394652,1,0
