channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
P7,15,1,2,1.020706,0.997254,0.824867,1.598101,1.250957,2.042229,1.921181,2.462652,1.144148,2.226238,1.765377,1.155464,0.803859,0.892334,0.894378,1.512923,0.741754,0.716690,1.698375,1.317584,1.348104,1.321156,0.606336,1.174741,1.192855,1.434957,1.199608
O1,9,1,2,0.888113,1.069198,0.850850,1.251588,1.254386,1.894424,1.585872,1.228221,1.045802,1.933945,0.911520,1.573155,1.028530,1.021068,0.976638,1.184039,2.029350,1.042906,1.744527,0.943893,0.742092,1.372757,1.040758,1.170924,0.724799,1.498898,2.099000
O1,10,1,2,0.833388,1.289196,0.779864,1.546166,1.367243,1.840932,1.521877,0.935867,1.431785,1.681256,0.810613,1.754022,1.227661,1.112527,0.985856,0.958183,1.579350,1.194581,2.009796,1.164203,1.065117,1.865240,1.066789,2.211633,0.625277,1.135146,1.591727
O1,14,1,2,1.056275,1.136469,1.045885,1.151689,1.439832,1.600284,1.189709,0.943826,1.286455,1.265357,1.224698,1.055131,1.143568,0.779090,0.944605,1.068787,1.324032,1.125535,1.198776,1.084811,1.173235,1.419549,0.681960,0.885623,0.922019,1.066769,1.247832
O1,24,1,2,0.955915,1.421243,1.226986,1.077804,1.457392,1.568359,0.855311,0.788340,1.392040,0.943936,0.889704,1.609879,1.089161,1.043606,1.025971,1.003369,1.307432,0.786226,1.069078,1.322914,1.017646,1.024471,1.097801,1.232929,1.035679,0.923554,1.215671
O2,5,1,2,1.496089,1.023928,1.374653,1.081016,1.315356,1.158069,1.667008,1.351602,1.584116,1.135329,3.032697,0.898104,0.653001,0.943650,1.495010,1.001552,1.659184,0.844023,2.231873,1.484264,1.246179,0.887324,0.976685,1.119261,0.531699,1.520873,2.008760
O2,9,1,2,1.123455,0.809386,0.767954,0.876156,1.329477,1.339119,1.905268,1.924522,2.035046,1.302610,2.348922,1.325741,0.909750,1.017103,1.121130,1.520340,1.301949,1.319940,1.724981,0.957966,0.907017,0.581448,1.182346,1.286806,0.612782,1.888117,1.797218
O2,10,1,2,1.224099,1.132009,0.673235,1.055476,0.842182,1.278173,2.058810,1.314504,1.959550,1.203942,1.358929,1.508967,0.514767,0.861851,1.431987,1.293721,1.045719,1.228195,1.962892,1.421622,1.077878,1.057897,1.102397,1.435939,0.605263,1.418275,1.377555
O2,19,1,2,1.427429,1.164803,1.168470,1.284873,1.059370,1.327089,1.538773,1.073269,1.504284,1.148763,1.193430,0.920623,0.908542,0.749423,1.224205,1.586145,1.238570,0.678615,1.758822,1.160424,1.311035,1.146857,1.122778,1.298157,0.713039,1.152107,1.301527
P8,9,1,2,1.460811,0.942528,0.977162,0.877777,1.208581,1.109794,1.711556,1.617677,1.773458,1.113160,2.487058,1.580584,0.857169,1.085814,0.930058,1.520492,1.735932,1.195647,0.923222,0.970818,0.888919,1.051051,1.348059,1.294990,1.271640,2.084352,1.328349
P8,10,1,2,1.316891,1.286542,0.772003,0.964675,0.837030,1.438046,1.582485,1.236086,1.414168,1.111610,0.941262,1.647061,0.738717,0.810210,1.084671,1.374453,1.629888,1.149460,1.111580,1.201480,1.104303,1.083379,1.342786,1.228502,1.222072,1.540888,1.235533
P8,19,1,2,1.388051,1.217910,1.317365,1.372979,1.170830,1.184369,1.172781,0.973756,1.254374,1.245103,1.081113,1.230377,0.861167,1.022886,0.911745,1.591575,1.120968,0.760340,1.521474,0.921175,1.188517,1.427686,1.324289,1.031028,0.940702,1.281228,1.135307
T8,0,1,2,1.342703,1.231402,2.313714,0.335903,1.777550,2.944236,1.789267,1.718292,3.441994,4.377937,1.360648,1.153906,0.556140,0.818422,0.944463,0.529803,1.145623,1.839742,1.676371,2.056715,3.250523,4.917342,0.328292,0.660467,0.349469,3.400632,1.848043
T8,1,1,2,1.345195,1.230521,2.331308,0.339572,1.753239,2.947690,1.785281,1.717882,3.460435,4.329441,1.347755,1.135452,0.556145,0.823653,0.924114,0.573377,1.136262,1.813841,1.686539,2.069670,3.244256,4.842535,0.328194,0.659639,0.351563,3.292765,1.846873
T8,2,1,2,1.336863,1.230444,2.333445,0.348717,1.783174,2.986864,1.791885,1.745428,3.452369,4.247439,1.363947,1.128514,0.561641,0.824130,0.937753,0.661754,1.154347,1.810894,1.701206,2.083027,3.287653,4.695628,0.339593,0.684047,0.358094,3.203844,1.885135
T8,3,1,2,1.334985,1.195594,2.332197,0.361174,1.805454,2.958337,1.784289,1.746833,3.368722,3.939955,1.415172,1.104991,0.573262,0.835993,0.959097,0.802360,1.186080,1.734984,1.683603,2.152932,3.379172,4.561775,0.358757,0.718143,0.386655,2.853532,1.955267
T8,4,1,2,1.312397,1.135017,2.269620,0.403588,1.870255,2.976028,1.702003,1.766313,3.184955,2.963198,1.591534,1.054485,0.624478,0.891433,1.018099,1.148410,1.326958,1.595408,1.708032,2.332228,3.461124,3.858998,0.420653,0.831489,0.510184,2.110099,2.069989
T8,5,1,2,1.018029,0.933035,1.963204,0.490212,1.512983,2.569941,1.435726,1.412410,1.949363,1.833818,1.460834,1.038527,0.492819,0.837647,1.157643,1.170483,1.389856,1.491561,1.906976,2.316219,1.814869,2.417246,0.497509,1.003501,0.713382,1.609905,1.317070
T8,6,1,2,1.210425,1.275683,2.131095,0.361947,1.654049,2.865156,1.745893,1.495972,3.072741,3.492331,1.207616,1.103645,0.450160,0.807657,1.256778,0.859023,1.084156,1.900467,1.704690,2.062580,2.742439,4.081841,0.375058,0.769237,0.466281,2.349683,1.519831
T8,7,1,2,1.211771,1.340768,2.020122,0.405695,1.716703,2.960564,1.773219,1.475499,2.979067,3.320018,1.231262,1.163859,0.453595,0.859791,1.283174,0.959893,1.085678,1.900350,1.666520,2.102339,2.800665,4.109081,0.400686,0.776080,0.466563,2.196955,1.637097
T8,8,1,2,1.163304,1.360428,1.844310,0.524048,1.804719,3.020820,1.780136,1.435088,2.585378,2.504249,1.190345,1.187053,0.435070,0.968010,1.294034,1.187750,1.159184,1.782716,1.618773,2.234712,2.536083,3.686158,0.497448,0.870214,0.560658,1.781556,1.647076
T8,9,1,2,1.135840,1.346679,1.282143,0.993121,1.864535,2.646211,1.704788,1.335147,1.575717,1.316224,1.241699,1.131313,0.495942,1.008568,1.066130,1.487517,1.697264,1.470095,1.528851,2.116251,1.550678,2.394504,0.812448,1.090156,0.811738,1.603735,1.357838
T8,10,1,2,1.321841,1.245699,1.698399,0.989101,1.225009,2.085086,1.677529,1.233383,2.246481,1.690674,2.619201,1.161598,0.925953,0.820846,0.847737,1.583052,2.024048,1.318169,1.458993,1.112011,1.545928,2.551725,0.926990,0.972533,0.809925,2.228395,1.448979
T8,11,1,2,1.341726,1.214519,2.260383,0.617991,1.367753,2.523924,1.811134,1.471344,3.286025,2.555147,1.824828,1.110411,0.790313,0.704247,0.797825,1.202763,1.436334,1.677304,1.642496,1.456323,2.438368,3.627453,0.653168,0.744649,0.592151,2.832037,1.517172
T8,12,1,2,1.314202,1.235816,2.315838,0.529871,1.502042,2.647625,1.797814,1.543355,3.154592,2.820607,1.635201,1.129349,0.693401,0.640964,0.807922,0.935358,1.303696,1.801338,1.587965,1.593963,2.747530,3.875423,0.565177,0.747422,0.522395,2.874412,1.574458
T8,13,1,2,1.242392,1.286810,2.090324,0.599474,1.565515,2.721126,1.746694,1.493191,2.604045,2.551881,1.592940,1.148336,0.648172,0.597033,0.803325,0.912173,1.309084,1.863107,1.490538,1.659977,2.807645,3.573165,0.540120,0.837470,0.555466,2.414558,1.641353
T8,14,1,2,1.014213,1.293991,1.253812,1.072108,1.480984,2.463323,1.327241,1.110783,1.216570,1.657387,1.620199,1.179275,0.616009,0.794394,0.738291,1.129499,1.541815,1.544168,1.190144,1.514090,2.307884,2.155455,0.641639,1.044651,0.790895,1.474897,1.542803
T8,15,1,2,1.180370,1.141817,1.589209,0.689598,1.621749,2.521659,1.567559,1.206194,2.324114,2.516783,1.447122,1.025347,0.652857,1.085034,0.680456,1.545501,1.287321,1.440086,1.921090,1.525318,2.080869,3.448873,0.589563,0.737969,0.502677,1.903162,1.603486
T8,16,1,2,1.308073,1.143152,2.069306,0.481020,1.596193,2.617026,1.702239,1.323073,3.576444,3.525582,1.415247,1.074977,0.661030,1.037052,0.744005,1.472811,1.190514,1.636217,1.866922,1.655770,2.490456,4.125171,0.508180,0.641174,0.430968,2.887797,1.557740
T8,17,1,2,1.249866,1.136737,2.042382,0.433355,1.594697,2.639199,1.681204,1.297365,3.836053,3.863315,1.386047,1.092149,0.659907,0.977814,0.800986,1.472065,1.149132,1.667495,1.795334,1.712207,2.687235,3.990307,0.507515,0.655705,0.457888,3.141101,1.568360
T8,18,1,2,1.011638,1.144337,1.769166,0.530422,1.678766,2.536530,1.539062,1.100935,3.257738,3.371981,1.424674,1.144537,0.697596,0.924509,0.777838,1.655780,1.186188,1.643944,1.715028,1.716302,2.799887,3.226443,0.634716,0.739040,0.599219,2.547586,1.561770
T8,19,1,2,0.837807,1.586873,1.624931,1.111459,1.850678,1.862148,1.115544,0.876163,1.652441,1.420864,1.801183,1.242240,1.211315,0.976387,0.932846,1.635255,1.469516,1.207297,1.752711,1.435692,1.648503,1.432933,1.215556,0.723247,0.900814,1.657219,1.445421
T8,20,1,2,1.302440,1.451496,2.297973,0.605459,1.576775,2.736188,1.826036,1.463739,3.133999,2.701302,1.491399,1.006977,0.937560,0.891263,1.063541,1.079321,1.246112,1.762357,1.883544,1.794222,2.148519,3.531827,0.580520,0.596328,0.440782,2.161251,1.610280
T8,21,1,2,1.450315,1.386841,2.399666,0.443654,1.542575,2.732777,1.902026,1.679155,3.559027,3.347981,1.418831,1.021602,0.831315,0.929433,1.047005,0.811137,1.163996,1.862182,1.883239,1.769306,2.376512,4.117447,0.485449,0.565646,0.362256,2.565232,1.549233
