channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
T7,41,1,2,0.924234,1.512266,1.323174,0.903280,1.457731,3.073400,1.652413,1.041910,5.665164,3.256644,2.276898,1.286660,0.316569,0.609930,1.184830,0.864274,1.651362,0.248730,2.812400,4.425927,5.449138,2.162888,0.284248,2.008542,0.294665,1.533499,1.911810
T7,42,1,2,0.809925,1.850204,1.236669,1.138894,1.608154,2.470991,1.396354,0.967492,4.720658,2.562716,2.339259,1.086026,0.518382,0.538041,1.358887,0.699788,1.358937,0.410037,2.740935,3.387650,3.210813,2.149527,0.564475,1.911146,0.339362,1.100048,1.789569
T7,43,1,2,0.860207,1.978904,0.891064,1.386895,1.906450,1.960655,1.638888,1.338836,3.667343,1.851559,2.131640,0.546611,0.807631,0.643386,1.188202,0.921703,1.300660,0.530591,1.830784,2.420361,3.090478,1.699240,0.555153,1.333777,0.597374,1.078975,1.615830
T7,44,1,2,1.029822,1.411159,1.113253,1.068931,1.387023,3.387770,1.754484,1.167981,5.554028,4.660130,2.131607,0.852105,0.333897,0.518455,1.277550,1.322668,1.703976,0.204206,2.526193,4.185964,5.658909,2.174682,0.248753,2.190999,0.281692,2.096623,2.100377
T7,45,1,2,1.080031,1.393161,1.189961,1.090068,1.360884,3.271099,1.665069,1.145464,5.602334,5.157564,2.191606,0.944046,0.282189,0.449249,1.407613,1.400410,1.743307,0.166916,2.629186,4.473083,6.645278,2.183693,0.242040,2.029958,0.301605,2.129392,2.007854
T7,46,1,2,1.069106,1.527920,1.109643,1.152983,1.371221,3.234476,1.554001,1.085451,5.984613,4.859391,2.216523,0.976756,0.289157,0.444562,1.421345,1.533903,1.656650,0.166124,2.577796,4.458653,6.375634,2.181580,0.245572,2.189824,0.262019,2.190551,2.151882
T7,47,1,2,0.802242,2.694205,0.981252,1.387327,1.752731,3.177318,0.895217,0.960462,5.957971,2.403469,2.432871,0.815114,0.619654,0.534778,1.307328,0.723650,1.303135,0.245914,2.499774,4.253689,3.447868,2.113138,0.484713,1.476101,0.497861,1.235885,1.958503
T7,48,1,2,0.803214,1.969965,1.198164,1.036477,1.575605,3.410092,1.130918,0.997586,6.226154,3.445435,2.367242,1.115436,0.278479,0.391619,1.319406,0.731563,1.381831,0.201368,2.609942,3.971790,5.616770,2.098483,0.368201,1.964929,0.356052,1.299963,2.174201
T7,52,1,2,0.608959,1.854907,1.413433,1.207726,2.320732,2.639876,0.848193,1.348228,3.025361,1.674620,3.505437,0.686665,0.397895,0.542728,1.239925,0.504163,1.483474,0.349408,3.366669,4.072480,2.992854,2.112645,0.539353,0.972858,0.717454,1.062400,1.172079
T7,57,1,2,0.801684,1.684398,1.463002,1.368497,2.141764,3.351615,0.847997,1.606052,2.688000,1.757326,3.469186,0.720307,0.337163,0.487356,1.205863,0.620666,1.516583,0.352031,3.508041,4.347704,2.982185,1.927639,0.568126,0.953372,0.764923,1.040247,1.132414
T7,62,1,2,0.684425,2.891479,0.977340,1.632584,1.892376,3.557595,0.823440,1.029858,5.053728,2.597090,2.470585,0.833638,0.270942,0.439646,1.191983,0.566554,1.239584,0.159378,2.633845,4.138722,5.160891,2.143331,0.530325,1.528107,0.536807,1.217054,1.855008
O1,2,1,2,1.560457,0.577349,1.474857,0.638600,2.020382,3.706583,1.354629,0.380940,1.978888,2.211210,1.223525,1.026144,1.172519,0.394649,1.951226,1.190107,2.051422,1.379339,4.173672,2.790226,2.074300,2.368284,0.952007,2.500309,0.518213,0.749757,2.502193
O1,3,1,2,1.834280,0.559561,1.567705,0.645355,2.239355,3.693726,1.648110,0.369655,1.799599,2.124555,1.249692,1.094231,1.119815,0.463339,1.721545,1.324386,2.071295,1.295439,3.865849,2.432618,2.014882,2.097330,0.969818,2.345931,0.534219,0.770729,2.524686
O1,4,1,2,2.776837,0.722359,1.533608,0.722819,2.775085,3.374692,2.297938,0.469388,1.436029,1.478928,1.304781,1.146288,1.005189,0.736690,1.191332,1.114872,1.589711,0.956476,2.817548,1.336606,1.271900,1.360985,1.035542,2.243077,0.654557,0.763808,2.254729
O1,5,1,2,1.563432,1.020394,1.243477,1.029744,1.589257,2.503172,1.850241,0.905944,1.182691,2.103392,1.098247,1.109126,1.045881,1.646655,1.353392,1.277310,1.179974,0.698912,1.017768,1.358860,1.259077,0.826570,1.089659,0.932320,0.962520,0.540969,1.826390
O1,9,1,2,1.993457,0.598590,0.937218,0.946047,1.067630,2.291608,1.068555,1.308739,1.476272,1.620822,0.816358,1.803825,1.547446,0.904094,0.827716,1.508474,1.918755,0.958695,2.194673,1.127595,1.030287,1.627553,0.781627,2.319283,1.236800,1.192346,2.331879
O1,10,1,2,2.203636,0.990844,1.096749,1.005506,1.503290,1.456030,0.869633,0.934425,1.299346,1.542522,0.987859,2.018131,1.761618,0.934181,0.782437,1.431974,1.756170,1.295985,3.161397,1.124095,0.928315,2.069916,0.973366,2.128672,0.976585,1.020889,1.317062
O1,11,1,2,2.024996,0.831444,1.194349,1.236954,2.458327,2.951797,0.780277,0.542046,1.682529,1.480852,0.914363,1.980981,1.508336,0.953859,0.878821,0.934481,1.587812,1.074578,3.406416,1.454871,1.471280,2.478549,1.001410,2.358638,0.459733,0.921038,1.400353
O1,12,1,2,1.840270,0.747700,1.073920,1.224245,2.757823,3.583407,0.753709,0.431644,2.042243,1.564485,0.948068,1.375840,1.313739,0.836724,1.131916,0.798405,1.469564,1.294928,3.367021,1.585312,1.926713,2.471302,1.049068,1.967274,0.402997,0.871615,1.694150
O1,15,1,2,1.879915,0.697252,1.212176,0.938696,1.212856,2.872823,1.309135,0.578717,2.239611,1.372559,0.937877,1.434770,1.087562,0.619032,1.097363,1.818035,1.279805,0.908984,1.497183,1.501446,1.657015,2.107911,0.789900,1.533482,0.833921,1.005656,1.207225
O1,16,1,2,1.469043,0.486279,1.112731,1.399876,1.829575,3.413841,1.074874,0.406079,2.207583,1.880844,0.989487,1.608612,1.245853,0.688861,1.334132,1.337413,1.449563,0.975432,1.848951,2.502847,1.968703,2.595343,0.914585,2.088813,0.601231,0.996590,1.748099
O1,17,1,2,1.292475,0.488986,1.488736,1.639862,1.931975,3.386239,1.155513,0.393034,2.478851,1.691105,1.054144,1.202963,1.079105,0.850879,2.031077,1.017999,1.582722,1.011814,1.744760,2.526551,1.811576,2.124318,1.003182,2.556374,0.565282,1.080491,2.135697
O1,18,1,2,1.261194,0.476225,1.299881,1.347401,1.731971,2.773947,1.631048,0.475990,1.439254,1.724532,1.375976,1.051336,1.025815,1.039915,1.387135,0.673602,1.471039,0.923362,1.159819,1.884202,1.610244,1.338889,1.077753,2.306710,0.596133,1.334782,1.920133
O1,24,1,2,0.941221,0.946391,1.126328,1.248176,1.172590,1.205109,1.048752,0.778599,1.608528,0.768102,1.341702,0.910683,0.872182,1.453665,0.944570,1.078379,1.560849,0.618237,1.394400,0.955336,0.878910,1.193783,1.421595,1.688068,1.011215,1.360445,1.902574
O1,25,1,2,1.298778,0.758392,1.122878,1.247692,1.434521,2.744253,1.273434,0.574970,1.753083,1.471476,1.303589,1.952782,1.028943,1.515663,1.353280,0.760828,2.283558,0.804352,2.060054,2.161273,1.162889,1.609584,0.962434,2.093761,0.582682,1.063376,1.870203
O1,26,1,2,1.451327,0.790501,1.041932,0.959155,1.750752,3.329010,1.060814,0.527915,1.595604,1.774849,1.084286,1.245312,1.262579,1.080021,1.280554,0.702475,2.422028,0.929309,2.159981,2.376236,1.325983,1.734503,0.883952,2.730560,0.511804,0.869471,1.897525
O1,39,1,2,1.488167,0.885141,1.112330,1.107362,1.248120,2.794677,1.424792,0.669646,1.467642,1.317517,0.911186,1.342016,2.050342,1.186024,0.943936,1.724020,1.110535,0.816712,1.524199,2.123290,1.207436,0.917169,1.325733,2.174562,0.706840,0.974892,2.178874
O1,40,1,2,1.411418,0.657340,1.756586,1.023327,1.865296,3.141888,1.835760,0.453509,1.791346,1.447923,0.766581,1.989040,1.530919,1.265182,0.978211,1.350919,1.192953,0.840703,2.575146,2.343704,2.032448,1.319236,1.342600,1.979497,0.673951,0.959385,2.371313
O1,41,1,2,1.316152,0.603712,1.552148,1.056152,2.102950,3.054839,1.590586,0.349368,2.205074,1.388651,0.647445,1.708860,1.053821,1.012103,0.949301,0.922324,1.178744,0.764920,2.594428,2.251479,2.398273,1.304149,1.330133,1.977996,0.657854,0.917455,2.254856
